
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	01578310	00060	68118	9	7	1999	1999	1	1999	19200	1999	19200	19200					19200				
USGS	01578310	00060	68118	9	8	1999	1999	1	1999	44700	1999	44700	44700					44700				
USGS	01578310	00060	68118	9	9	1999	1999	1	1999	24700	1999	24700	24700					24700				
USGS	01578310	00060	68118	9	10	1999	1999	1	1999	16300	1999	16300	16300					16300				
USGS	01578310	00060	68118	9	11	1999	1999	1	1999	12800	1999	12800	12800					12800				
USGS	01578310	00060	68118	9	12	1999	1999	1	1999	5150	1999	5150	5150					5150				
USGS	01578310	00060	68118	9	13	1999	1999	1	1999	5170	1999	5170	5170					5170				
USGS	01578310	00060	68118	9	14	1999	1999	1	1999	7920	1999	7920	7920					7920				
USGS	01578310	00060	68118	9	15	1999	1999	1	1999	9310	1999	9310	9310					9310				
USGS	01578310	00060	68118	9	16	1999	1999	1	1999	48500	1999	48500	48500					48500				
USGS	01578310	00060	68118	9	17	1999	1999	1	1999	48500	1999	48500	48500					48500				
USGS	01578310	00060	68118	9	18	1999	1999	1	1999	52400	1999	52400	52400					52400				
USGS	01578310	00060	68118	9	19	1999	1999	1	1999	37600	1999	37600	37600					37600				
USGS	01578310	00060	68118	9	20	1999	1999	1	1999	32300	1999	32300	32300					32300				
USGS	01578310	00060	68118	9	21	1999	1999	1	1999	34000	1999	34000	34000					34000				
USGS	01578310	00060	68118	9	22	1999	1999	1	1999	27800	1999	27800	27800					27800				
USGS	01578310	00060	68118	9	23	1999	1999	1	1999	22100	1999	22100	22100					22100				
USGS	01578310	00060	68118	9	24	1999	1999	1	1999	25800	1999	25800	25800					25800				
USGS	01578310	00060	68118	9	25	1999	1999	1	1999	15900	1999	15900	15900					15900				
USGS	01578310	00060	68118	9	26	1999	1999	1	1999	17900	1999	17900	17900					17900				
USGS	01578310	00060	68118	9	27	1999	1999	1	1999	27400	1999	27400	27400					27400				
USGS	01578310	00060	68118	9	28	1999	1999	1	1999	19200	1999	19200	19200					19200				
USGS	01578310	00060	68118	9	29	1999	1999	1	1999	19200	1999	19200	19200					19200				
USGS	01578310	00060	68118	9	30	1999	1999	1	1999	19100	1999	19100	19100					19100				
USGS	01578310	00060	68118	10	1	2000	2000	1	2000	37000	2000	37000	37000					37000				
USGS	01578310	00060	68118	10	2	2000	2000	1	2000	32500	2000	32500	32500					32500				
USGS	01578310	00060	68118	10	3	2000	2000	1	2000	30400	2000	30400	30400					30400				
USGS	01578310	00060	68118	10	4	2000	2000	1	2000	28800	2000	28800	28800					28800				
USGS	01578310	00060	68118	10	5	2000	2000	1	2000	31900	2000	31900	31900					31900				
USGS	01578310	00060	68118	10	6	2000	2000	1	2000	34400	2000	34400	34400					34400				
USGS	01578310	00060	68118	10	7	2000	2000	1	2000	19100	2000	19100	19100					19100				
USGS	01578310	00060	68118	10	8	2000	2000	1	2000	21900	2000	21900	21900					21900				
USGS	01578310	00060	68118	10	9	2000	2000	1	2000	21300	2000	21300	21300					21300				
USGS	01578310	00060	68118	10	10	2000	2000	1	2000	17300	2000	17300	17300					17300				
USGS	01578310	00060	68118	10	11	2000	2000	1	2000	24600	2000	24600	24600					24600				
USGS	01578310	00060	68118	10	12	2000	2000	1	2000	26900	2000	26900	26900					26900				
USGS	01578310	00060	68118	10	13	2000	2000	1	2000	22400	2000	22400	22400					22400				
USGS	01578310	00060	68118	10	14	2000	2000	1	2000	19300	2000	19300	19300					19300				
USGS	01578310	00060	68118	10	15	2000	2000	1	2000	16100	2000	16100	16100					16100				
USGS	01578310	00060	68118	10	16	2000	2000	1	2000	18400	2000	18400	18400					18400				
USGS	01578310	00060	68118	10	17	2000	2000	1	2000	18400	2000	18400	18400					18400				
USGS	01578310	00060	68118	10	18	2000	2000	1	2000	20800	2000	20800	20800					20800				
USGS	01578310	00060	68118	10	19	2000	2000	1	2000	20800	2000	20800	20800					20800				
USGS	01578310	00060	68118	10	20	2000	2000	1	2000	17200	2000	17200	17200					17200				
USGS	01578310	00060	68118	10	21	2000	2000	1	2000	13500	2000	13500	13500					13500				
USGS	01578310	00060	68118	10	22	2000	2000	1	2000	10400	2000	10400	10400					10400				
USGS	01578310	00060	68118	10	23	2000	2000	1	2000	12700	2000	12700	12700					12700				
USGS	01578310	00060	68118	10	24	2000	2000	1	2000	7050	2000	7050	7050					7050				
USGS	01578310	00060	68118	10	25	2000	2000	1	2000	18700	2000	18700	18700					18700				
USGS	01578310	00060	68118	10	26	2000	2000	1	2000	13200	2000	13200	13200					13200				
USGS	01578310	00060	68118	10	27	2000	2000	1	2000	13500	2000	13500	13500					13500				
